#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
35        	79        	ok              	3.7900000000e+00	4.7120000000e+02	1.5107205449e+20	5.8257280179e+19	1.8541213109e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
36        	78        	ok              	3.2320000000e+00	4.7120000000e+02	1.2883018084e+20	4.9680086949e+19	1.8541249498e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
37        	78        	ok              	2.7560000000e+00	4.7120000000e+02	1.0985637872e+20	4.2363341470e+19	1.8541244100e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
38        	78        	ok              	2.3500000000e+00	4.7120000000e+02	9.3672853390e+19	3.6122587974e+19	1.8541239252e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
39        	78        	ok              	2.0040000000e+00	4.7120000000e+02	7.9880991123e+19	3.0804113319e+19	1.8541234910e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
40        	78        	ok              	1.7090000000e+00	4.7120000000e+02	6.8122040323e+19	2.6269575680e+19	1.8541231017e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
41        	78        	ok              	1.4570000000e+00	4.7120000000e+02	5.8077111415e+19	2.2396004544e+19	1.8541227527e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
42        	78        	ok              	1.2430000000e+00	4.7120000000e+02	4.9546897392e+19	1.9106543341e+19	1.8541224259e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
43        	78        	ok              	1.0600000000e+00	4.7120000000e+02	4.2252371720e+19	1.6293592873e+19	1.8541221295e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
44        	78        	ok              	9.0360000000e-01	4.7120000000e+02	3.6018145754e+19	1.3889519359e+19	1.8541218640e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
45        	78        	ok              	7.7050000000e-01	4.7120000000e+02	3.0712677883e+19	1.1843597461e+19	1.8541216272e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
46        	78        	ok              	6.5710000000e-01	4.7120000000e+02	2.6192468553e+19	1.0100490450e+19	1.8541214157e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
47        	78        	ok              	5.6030000000e-01	4.7120000000e+02	2.2333948831e+19	8.6125472518e+18	1.8541212264e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
48        	77        	ok              	4.7780000000e-01	4.7120000000e+02	1.9045497238e+19	7.3444138442e+18	1.8541246942e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
